Dealer Code Processing;Dealer Name;Long Chassis;Model Description;Vehicle Version;Vehicle Code;Model Year;Color Type;Exterior Color;Interior Color;Physical Status Description;Estimated Production Day;Estimated Production Week;Sales Type;Sales Type Description;Have a Customer;Invoiced?;Dispatchable;Quota Status;Central / Dealer Quota;Production Day;Related Month Availability;Status;Month Number
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000335;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000336;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;27.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;27.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000337;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;27.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;27.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000338;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000339;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000340;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Partially modifiable order;12.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;12.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000341;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000342;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Partially modifiable order;12.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;12.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000343;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000344;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000345;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000346;B1;B1V01b;N8;2026;Bicolor;Blue4;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000347;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000348;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000349;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000350;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000351;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000352;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000353;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000354;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000355;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Approved order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01bMY26N8000356;B1;B1V01b;N8;2026;Bicolor;White3;IG1b;Partially modifiable order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
